barcode,product_name,brands,sugars_100g,fiber_100g,proteins_100g,quantity_grams,sugar_pct_dv,sugar_tier,high_sugar_flag,nutrition_grades,shelf_location,units_sold_last_month,sugar_pct_dv_scaled
8480000094742,Granola baja en azúcares,Hacendado,4.7,8.5,13.6,400.0,9.4,moderate,0,a, Aisle 3C,653,0.18076923076923077
3229820786599,Flocons d'avoine 4 graines et raisins,Bjorg,8.6,11,15,375.0,17.2,moderate,0,a,Aisle 4B,397,0.33076923076923076
3564706612792,Muesli 4 Noix,"Marque Repère, Grainéa",16,8.5,11,500.0,32.0,high,1,c,,,0.6153846153846154
5010477365378,Céréales oh my crips fruit,JORDANS,9.8,18,8.5,400.0,19.6,moderate,0,b,Aisle 4B,848,0.37692307692307697
3250391896554,Flocons d'avoine complète 500g,Chabrior,1.1,10,12,500.0,2.2,low,0,a,Aisle 2B,357,0.04230769230769231
3229820804224,Céréales complètes au chocolat noir intense,Bjorg,17,9.1,9.6,450.0,34.0,high,1,c,Aisle 1A,68,0.6538461538461539
3168930158158,Cruesli miel et noisettes,"Cruesli, QUAKER",15,9.4,7.5,450.0,30.0,high,1,b,Aisle 1A,755,0.5769230769230769
8445290114594,Crousti fondant choco-noisettes,"Nestlé, Nat",17.5,6.2,7.7,340.0,35.0,high,1,c,Aisle 1A,370,0.6730769230769231
5010029000801,Weetabix,Weetabix,4.2,10,11,860.0,8.4,moderate,0,a,,,0.16153846153846155
3421557501685,Muesli croustillant chocolat 500 g,T&C terres & céréales Bio,9.6,3.9,4.7,500.0,19.2,moderate,0,c,,,0.3692307692307692
